key,english,arabic,sources,placeholders,status
Anything the staff should know (optional),Anything the staff should know (optional),أي شيء يجب أن يعرفه الموظفون (اختياري),screens/Tickets.tsx,,translated
Anything worth remembering (optional),Anything worth remembering (optional),أي شيء يستحق التذكر (اختياري),components/CancelPanel.tsx,,translated
Appearance,Appearance,المظهر,screens/Settings.tsx,,translated
Arabic switches the interface to right-to-left · this browser only,Arabic switches the interface to right-to-left · this browser only,العربية تبدّل الواجهة من اليمين لليسار · هذا المتصفح فقط,screens/Settings.tsx,,translated
Arr,Arr,وصول,screens/Dashboard.tsx,,translated
Arrival / departure times (ETA · ETD),Arrival / departure times (ETA · ETD),أوقات الوصول / المغادرة (ETA · ETD),screens/TapeChart.tsx,,translated
Arrivals,Arrivals,الوصول,screens/Dashboard.tsx; screens/Reports.tsx; screens/Today.tsx,,translated
Assign {n} room{s},Assign {n} room{s},تعيين {n} غرفة{s},screens/TapeChart.tsx,n s,translated
Assigning...,Assigning...,جارٍ التعيين...,screens/TapeChart.tsx,,translated
Authorised signatory,Authorised signatory,الموقع المعتمد,screens/FolioView.tsx,,translated
Auto-assign arrivals,Auto-assign arrivals,تعيين الوصول تلقائياً,screens/TapeChart.tsx,,translated
Auto-detect format,Auto-detect format,اكتشاف التنسيق تلقائياً,screens/Setup.tsx,,translated
Available,Available,متاح,screens/HkApp.tsx,,translated
Available ({n}),Available ({n}),متاح ({n}),screens/POS.tsx,n,translated
Available{n},Available{n},متاح{n},screens/HkApp.tsx,n,translated
Back,Back,رجوع,screens/Setup.tsx,,translated
Back to board,Back to board,العودة إلى اللوحة,screens/Kitchen.tsx,,translated
Balance,Balance,الرصيد,screens/FolioView.tsx; screens/Today.tsx,,translated
Balance {cur},Balance {cur},الرصيد {cur},screens/Billing.tsx,cur,translated
Banquets,Banquets,المآدب,screens/Banquet.tsx,,translated
Bill,Bill,فاتورة,screens/POS.tsx,,translated
Bill to,Bill to,فوترة إلى,screens/FolioView.tsx,,translated
Billed orders,Billed orders,الطلبات المفوترة,screens/Laundry.tsx,,translated
Billing,Billing,الفوترة,screens/FolioView.tsx; screens/Laundry.tsx,,translated
Blank for a single day,Blank for a single day,اتركه فارغاً ليوم واحد,screens/Banquet.tsx,,translated
Board,Board,اللوحة,screens/Laundry.tsx,,translated
Book,Book,احجز,screens/CRS.tsx,,translated
Book {type},Book {type},احجز {type},screens/CRS.tsx,type,translated
Booked {ref} at {property}.,Booked {ref} at {property}.,تم الحجز {ref} في {property}.,screens/CRS.tsx,property ref,translated
Booked · {ref},Booked · {ref},محجوز · {ref},components/BookingDialog.tsx,ref,translated
Booking Payment Mode,Booking Payment Mode,طريقة دفع الحجز,screens/Setup.tsx,,translated
Bookings,Bookings,الحجوزات,screens/Guests.tsx,,translated
Booking…,Booking…,جارٍ الحجز…,components/BookingDialog.tsx,,translated
Browser full screen,Browser full screen,ملء شاشة المتصفح,screens/Kitchen.tsx,,translated
Business date,Business date,تاريخ العمل,screens/CashierTill.tsx,,translated
By event type,By event type,حسب نوع المناسبة,screens/Banquet.tsx,,translated
By hall,By hall,حسب القاعة,screens/Banquet.tsx,,translated
By property,By property,حسب العقار,screens/Dashboard.tsx,,translated
By status,By status,حسب الحالة,screens/Banquet.tsx,,translated
CANCELLED — STOP,CANCELLED — STOP,ملغى — توقف,screens/Kitchen.tsx,,translated
CANCELLED — STOP COOKING,CANCELLED — STOP COOKING,ملغى — أوقف الطبخ,screens/Kitchen.tsx,,translated
CGST ({rate}%),CGST ({rate}%),CGST ({rate}%),screens/POS.tsx,rate,translated
CHANGEOVER CONFLICT,CHANGEOVER CONFLICT,تعارض تبديل الغرفة,screens/TapeChart.tsx,,translated
COMPLIMENTARY,COMPLIMENTARY,مجاني,screens/POS.tsx,,translated
COOKING,COOKING,قيد الطبخ,screens/Kitchen.tsx,,translated
Came from,Came from,جاء من,screens/Banquet.tsx,,translated
Cancel,Cancel,إلغاء,components/BookingDialog.tsx; components/CheckInDialog.tsx; components/ResourceScreen.tsx; screens/Banquet.tsx; screens/CRS.tsx; screens/FolioView.tsx; screens/HkApp.tsx; screens/Laundry.tsx; screens/Marketplace.tsx; screens/POS.tsx; screens/Tickets.tsx,,translated
Cancel invoice,Cancel invoice,إلغاء الفاتورة,screens/FolioView.tsx,,translated
Cancel laundry — room {room},Cancel laundry — room {room},إلغاء الغسيل — غرفة {room},screens/Laundry.tsx,room,translated
Cancel this order,Cancel this order,إلغاء هذا الطلب,screens/Laundry.tsx,,translated
Cancel this stay…,Cancel this stay…,إلغاء هذه الإقامة…,components/CancelPanel.tsx,,translated
Cancel {invoice}? The number goes on the cancelled register and the folio reopens for correction.,Cancel {invoice}? The number goes on the cancelled register and the folio reopens for correction.,إلغاء {invoice}؟ يُسجَّل الرقم في سجل الملغى وتُفتح الفاتورة للتصحيح.,screens/FolioView.tsx,invoice,translated
Cancellation fee {amount} posted to the folio.,Cancellation fee {amount} posted to the folio.,تم ترحيل رسوم الإلغاء {amount} إلى الفاتورة.,components/CancelPanel.tsx,amount,translated
Cancelled - {n},Cancelled - {n},ملغى - {n},components/CancelPanel.tsx,n,translated
Cancelling…,Cancelling…,جارٍ الإلغاء…,components/CancelPanel.tsx,,translated
"Capture the ID on the GRC - check-in is never blocked, but the register wants it before the night audit.","Capture the ID on the GRC - check-in is never blocked, but the register wants it before the night audit.",التقط الهوية على بطاقة التسجيل - لن يُحظر تسجيل الوصول، لكن السجل يطلبها قبل تدقيق الليل.,components/CheckInDialog.tsx,,translated
Card,Card,بطاقة,screens/CashierTill.tsx,,translated
Cash drop,Cash drop,إيداع نقدي,screens/CashierTill.tsx,,translated
Cash in,Cash in,نقد داخل,screens/CashierTill.tsx,,translated
Cashier,Cashier,أمين الصندوق,screens/CashierTill.tsx,,translated
Cashier PIN,Cashier PIN,رمز أمين الصندوق,components/PinPad.tsx,,translated
Cashier PIN required for money actions.,Cashier PIN required for money actions.,رمز أمين الصندوق مطلوب لإجراءات المال.,screens/FolioView.tsx,,translated
Cashier shift report,Cashier shift report,تقرير وردية أمين الصندوق,screens/Reports.tsx,,translated
Cashier till,Cashier till,صندوق أمين الصندوق,screens/Billing.tsx,,translated
Cashier unlocked — money actions are open for 15 minutes.,Cashier unlocked — money actions are open for 15 minutes.,تم فتح أمين الصندوق — إجراءات المال مفتوحة لمدة 15 دقيقة.,screens/FolioView.tsx,,translated
Category,Category,الفئة,screens/Setup.tsx; screens/Tickets.tsx,,translated
Central reservations,Central reservations,الحجوزات المركزية,screens/CRS.tsx,,translated
Charges,Charges,الرسوم,screens/FolioView.tsx,,translated
Check in,Check in,تسجيل الوصول,components/CheckInDialog.tsx; screens/Today.tsx,,translated
Check in to {room},Check in to {room},تسجيل الوصول إلى {room},components/CheckInDialog.tsx,room,translated
Check in {name},Check in {name},تسجيل وصول {name},components/CheckInDialog.tsx,name,translated
Check out,Check out,تسجيل المغادرة,screens/Today.tsx,,translated
Check-in,Check-in,تسجيل الوصول,components/BookingDialog.tsx; screens/CRS.tsx; screens/TapeChart.tsx,,translated
Check-in Time,Check-in Time,وقت تسجيل الوصول,screens/Setup.tsx,,translated
Check-out,Check-out,تسجيل المغادرة,screens/TapeChart.tsx; screens/Today.tsx,,translated
Check-out Time,Check-out Time,وقت تسجيل المغادرة,screens/Setup.tsx,,translated
Checked in,Checked in,تم تسجيل الوصول,screens/TapeChart.tsx,,translated
Checking in…,Checking in…,جارٍ تسجيل الوصول…,components/CheckInDialog.tsx,,translated
Checking…,Checking…,جارٍ التحقق…,components/PinPad.tsx; screens/Banquet.tsx; screens/Setup.tsx,,translated
Children,Children,الأطفال,components/BookingDialog.tsx; screens/CRS.tsx,,translated
Choose which columns this table shows,Choose which columns this table shows,اختر الأعمدة المعروضة في هذا الجدول,components/ResourceScreen.tsx,,translated
Choose…,Choose…,اختر…,components/CheckInDialog.tsx,,translated
City,City,المدينة,screens/Setup.tsx,,translated
Clean,Clean,نظيفة,screens/Dashboard.tsx; screens/Today.tsx,,translated
Cleaning,Cleaning,تنظيف,screens/POS.tsx,,translated
Clear,Clear,مسح,components/ResourceScreen.tsx; screens/FolioView.tsx,,translated
Clear all,Clear all,مسح الكل,screens/POS.tsx,,translated
Click a bar to move rooms or change dates.,Click a bar to move rooms or change dates.,انقر شريطاً لنقل الغرف أو تغيير التواريخ.,screens/TapeChart.tsx,,translated
"Click a folio to post charges, settle and print the GST invoice","Click a folio to post charges, settle and print the GST invoice",انقر فاتورة لترحيل الرسوم والتسوية وطباعة فاتورة GST,screens/Billing.tsx,,translated
Click a room to advance its housekeeping status,Click a room to advance its housekeeping status,انقر غرفة لتقديم حالة التدبير المنزلي,screens/Today.tsx,,translated
Close,Close,إغلاق,components/BookingDialog.tsx; components/PinPad.tsx; screens/POS.tsx; screens/TapeChart.tsx,,translated
Close & generate invoice,Close & generate invoice,إغلاق وإنشاء فاتورة,screens/FolioView.tsx,,translated
Close complimentary bill,Close complimentary bill,إغلاق الفاتورة المجانية,screens/POS.tsx,,translated
Close session,Close session,إغلاق الجلسة,screens/CashierTill.tsx,,translated
Close till,Close till,إغلاق الصندوق,screens/CashierTill.tsx,,translated
Cloudbeds export,Cloudbeds export,تصدير Cloudbeds,screens/Setup.tsx,,translated
Collect & count,Collect & count,تحصيل وعدّ,screens/Laundry.tsx,,translated
Collect now,Collect now,تحصيل الآن,screens/Laundry.tsx,,translated
Collect {n} piece{s} · {total},Collect {n} piece{s} · {total},تحصيل {n} قطعة{s} · {total},screens/Laundry.tsx,n s total,translated
Collected,Collected,تم التحصيل,screens/Dashboard.tsx,,translated
Collected today,Collected today,تم التحصيل اليوم,screens/Dashboard.tsx,,translated
Collections,Collections,التحصيلات,screens/Dashboard.tsx; screens/Reports.tsx,,translated
Columns,Columns,الأعمدة,components/ResourceScreen.tsx,,translated
Company,Company,الشركة,screens/Banquet.tsx,,translated
"Company, add-ons & arrival details","Company, add-ons & arrival details",الشركة والإضافات وتفاصيل الوصول,components/BookingDialog.tsx,,translated
Complimentary,Complimentary,مجاني,screens/POS.tsx,,translated
Complimentary — don't bill the guest,Complimentary — don't bill the guest,مجاني — لا تفوتر الضيف,screens/Laundry.tsx,,translated
Concierge,Concierge,الاستقبال الذكي,components/CommandPalette.tsx,,translated
Configure table columns,Configure table columns,تكوين أعمدة الجدول,components/ResourceScreen.tsx,,translated
Confirm,Confirm,تأكيد,components/PinPad.tsx,,translated
Confirm booking,Confirm booking,تأكيد الحجز,components/BookingDialog.tsx; screens/CRS.tsx,,translated
Confirm cancel,Confirm cancel,تأكيد الإلغاء,screens/FolioView.tsx,,translated
Confirm cancellation,Confirm cancellation,تأكيد الإلغاء,components/CancelPanel.tsx,,translated
Confirm void,Confirm void,تأكيد الإبطال,screens/FolioView.tsx,,translated
Confirmed,Confirmed,مؤكد,screens/TapeChart.tsx,,translated
Confirmed but unpaid,Confirmed but unpaid,مؤكد لكن غير مدفوع,screens/Banquet.tsx,,translated
"Confirmed, 6 months","Confirmed, 6 months",مؤكد، 6 أشهر,screens/Banquet.tsx,,translated
Connect,Connect,اتصال,screens/Marketplace.tsx,,translated
Connect a number,Connect a number,ربط رقم,screens/WhatsAppChat.tsx,,translated
"Connect your WhatsApp Business number under Channels and messages will start flowing: booking confirmations and check-in links go out on their own, and anything guests write appears here.","Connect your WhatsApp Business number under Channels and messages will start flowing: booking confirmations and check-in links go out on their own, and anything guests write appears here.",اربط رقم واتساب للأعمال تحت القنوات وستبدأ الرسائل بالتدفق: تأكيدات الحجز وروابط تسجيل الوصول تُرسل تلقائياً، وما يكتبه الضيوف يظهر هنا.,screens/WhatsAppChat.tsx,,translated
Connected. Paste these into HeyKoala:,Connected. Paste these into HeyKoala:,متصل. الصق هذه في HeyKoala:,screens/Marketplace.tsx,,translated
Connecting...,Connecting...,جارٍ الاتصال...,screens/Marketplace.tsx,,translated
Connection lost — reconnecting…,Connection lost — reconnecting…,فُقد الاتصال — جارٍ إعادة الاتصال…,components/ConnectionBanner.tsx,,translated
Continue,Continue,متابعة,screens/Setup.tsx,,translated
Conversion,Conversion,التحويل,screens/Banquet.tsx,,translated
Copy,Copy,نسخ,screens/Marketplace.tsx,,translated
"Copy the self check-in link - send to the booker, {name}{phone}","Copy the self check-in link - send to the booker, {name}{phone}",انسخ رابط التسجيل الذاتي - أرسله للحاجز، {name}{phone},screens/Today.tsx,name phone,translated
Copy the self check-in link - send to the guest,Copy the self check-in link - send to the guest,انسخ رابط التسجيل الذاتي - أرسله للضيف,screens/Today.tsx,,translated
Copy the self check-in link - send to the guest and the booker ({name}),Copy the self check-in link - send to the guest and the booker ({name}),انسخ رابط التسجيل الذاتي - أرسله للضيف والحاجز ({name}),screens/Today.tsx,name,translated
Corporate,Corporate,شركات,screens/TapeChart.tsx,,translated
"Cottage 1, Cottage 2","Cottage 1, Cottage 2",كوخ 1، كوخ 2,screens/Setup.tsx,,translated
Count the bag,Count the bag,عدّ الحقيبة,screens/Laundry.tsx,,translated
Counted cash (expected {amount}),Counted cash (expected {amount}),النقد المحسوب (المتوقع {amount}),screens/CashierTill.tsx,amount,translated
Create property,Create property,إنشاء عقار,screens/Setup.tsx,,translated
Create ticket,Create ticket,إنشاء تذكرة,screens/Tickets.tsx,,translated
"Creating sets this as your active property. Rates, seasons, vouchers and guardrails can be added later from Revenue.","Creating sets this as your active property. Rates, seasons, vouchers and guardrails can be added later from Revenue.",الإنشاء يجعل هذا عقارك النشط. يمكن إضافة الأسعار والمواسم والقسائم والحدود لاحقاً من الإيرادات.,screens/Setup.tsx,,translated
Creating…,Creating…,جارٍ الإنشاء…,screens/Setup.tsx,,translated
Credit note,Credit note,إشعار دائن,screens/FolioView.tsx,,translated
Credit note amount,Credit note amount,مبلغ إشعار الدائن,screens/FolioView.tsx,,translated
Customer,Customer,العميل,screens/Banquet.tsx,,translated
Customer name,Customer name,اسم العميل,screens/Banquet.tsx,,translated
"Customer, company, hall…","Customer, company, hall…",عميل، شركة، قاعة…,screens/Banquet.tsx,,translated
Cycle open bills,Cycle open bills,تصفح الفواتير المفتوحة,screens/POS.tsx,,translated
Dark,Dark,داكن,screens/Settings.tsx,,translated
Dashboard,Dashboard,لوحة التحكم,screens/Dashboard.tsx,,translated
Date,Date,التاريخ,screens/Banquet.tsx; screens/FolioView.tsx; screens/Reports.tsx,,translated
Date changes re-price automatically (unless the booking holds a manual amount) and the double-booking guard re-checks the room.,Date changes re-price automatically (unless the booking holds a manual amount) and the double-booking guard re-checks the room.,تغييرات التاريخ تعيد التسعير تلقائياً (ما لم يكن للحجز مبلغ يدوي) ويعيد حارس الحجز المزدوج فحص الغرفة.,screens/TapeChart.tsx,,translated
Day-use hours,Day-use hours,ساعات الاستخدام اليومي,screens/TapeChart.tsx,,translated
Days,Days,الأيام,screens/TapeChart.tsx,,translated
Decline,Decline,رفض,screens/HkApp.tsx,,translated
Delete,Delete,حذف,components/ResourceScreen.tsx; screens/Laundry.tsx,,translated
Delete empty {label} folio,Delete empty {label} folio,حذف فاتورة {label} الفارغة,screens/FolioView.tsx,label,translated
Delete this empty folio,Delete this empty folio,حذف هذه الفاتورة الفارغة,screens/FolioView.tsx,,translated
Deliver & bill {total}{short},Deliver & bill {total}{short},تسليم وفاتورة {total}{short},screens/Laundry.tsx,short total,translated
Delivered today,Delivered today,تم التسليم اليوم,screens/Laundry.tsx,,translated
Demo accounts - one tap to try each role,Demo accounts - one tap to try each role,حسابات تجريبية - اضغط مرة لتجربة كل دور,screens/Login.tsx,,translated
Dep,Dep,مغادرة,screens/Dashboard.tsx,,translated
Departures,Departures,المغادرة,screens/Reports.tsx; screens/Today.tsx,,translated
Description,Description,الوصف,screens/FolioView.tsx,,translated
Detach profile,Detach profile,فصل الملف,components/BookingDialog.tsx,,translated
Details,Details,التفاصيل,screens/Tickets.tsx,,translated
Diary,Diary,اليومية,screens/Banquet.tsx,,translated
Dirty,Dirty,متسخة,screens/Dashboard.tsx; screens/Today.tsx,,translated
Disconnect,Disconnect,قطع الاتصال,screens/Marketplace.tsx,,translated
Discount,Discount,خصم,screens/POS.tsx,,translated
Dismiss,Dismiss,إغلاق,screens/POS.tsx,,translated
Docket,Docket,إيصال,screens/Laundry.tsx,,translated
Done,Done,تم,components/BookingDialog.tsx; components/ResourceScreen.tsx; screens/HkApp.tsx; screens/Marketplace.tsx,,translated
Done ✓,Done ✓,تم ✓,screens/HkApp.tsx,,translated
Download the current view as CSV (Excel-ready),Download the current view as CSV (Excel-ready),تنزيل العرض الحالي كملف CSV (جاهز لإكسل),components/ResourceScreen.tsx,,translated
Drop to safe,Drop to safe,إيداع في الخزنة,screens/CashierTill.tsx,,translated
Drops,Drops,الإيداعات,screens/CashierTill.tsx,,translated
Due,Due,مستحق,screens/Banquet.tsx; screens/Today.tsx,,translated
Each unit / room sells on its own (hotel-style inventory).,Each unit / room sells on its own (hotel-style inventory).,كل وحدة / غرفة تُباع بمفردها (مخزون بأسلوب الفندق).,screens/Setup.tsx,,translated
Edit,Edit,تعديل,screens/Laundry.tsx,,translated
Email,Email,البريد الإلكتروني,components/CheckInDialog.tsx; screens/Banquet.tsx,,translated
Email or username,Email or username,البريد الإلكتروني أو اسم المستخدم,screens/Login.tsx,,translated
Ends,Ends,ينتهي,screens/Banquet.tsx,,translated
Enquiries and tentative holds,Enquiries and tentative holds,الاستفسارات والحجوزات المؤقتة,screens/Banquet.tsx,,translated
"Enter 1–99%, or a {cur} amount under the line's {cur}{amount} (before GST).","Enter 1–99%, or a {cur} amount under the line's {cur}{amount} (before GST).",أدخل 1–99٪، أو مبلغاً بـ {cur} أقل من {cur}{amount} للبند (قبل GST).,screens/FolioView.tsx,amount cur,translated
Enter your PIN to continue,Enter your PIN to continue,أدخل رمزك للمتابعة,components/PinPad.tsx,,translated
Entire place,Entire place,المكان بالكامل,screens/Setup.tsx,,translated
Entire place or a few units. No meal plans; overbooking off by default.,Entire place or a few units. No meal plans; overbooking off by default.,المكان بالكامل أو بضع وحدات. بدون خطط وجبات؛ الحجز الزائد معطّل افتراضياً.,screens/Setup.tsx,,translated
Entire villa,Entire villa,الفيلا بالكامل,screens/Setup.tsx,,translated
Event type,Event type,نوع المناسبة,screens/Banquet.tsx,,translated
Every action is recorded in the Activity Log.,Every action is recorded in the Activity Log.,يُسجَّل كل إجراء في سجل النشاط.,components/CommandPalette.tsx,,translated
"Every app included, plus the AI, channels, payments, accounting and country packs you can plug in.","Every app included, plus the AI, channels, payments, accounting and country packs you can plug in.",كل التطبيقات مشمولة، بالإضافة إلى الذكاء الاصطناعي والقنوات والمدفوعات والمحاسبة وحزم الدول التي يمكنك توصيلها.,screens/Marketplace.tsx,,translated
Every arrival for this day already has a room.,Every arrival for this day already has a room.,كل وصول لهذا اليوم لديه غرفة بالفعل.,screens/TapeChart.tsx,,translated
"Every guest, their stays and lifetime value. Click for the full journey.","Every guest, their stays and lifetime value. Click for the full journey.",كل ضيف وإقاماته وقيمته مدى الحياة. انقر للرحلة الكاملة.,screens/Guests.tsx,,translated
"Everything Kamra does, one room at a time. Pick where you want to work.","Everything Kamra does, one room at a time. Pick where you want to work.",كل ما تفعله كامرا، غرفة بغرفة. اختر أين تريد العمل.,screens/AppLauncher.tsx,,translated
Everything came back,Everything came back,عاد كل شيء,screens/Laundry.tsx,,translated
Exit,Exit,خروج,screens/Kitchen.tsx; screens/POS.tsx,,translated
Exit POS — back to the PMS,Exit POS — back to the PMS,الخروج من نقطة البيع — العودة إلى النظام,screens/POS.tsx,,translated
Exit full screen (Esc),Exit full screen (Esc),الخروج من ملء الشاشة (Esc),screens/Kitchen.tsx; screens/POS.tsx,,translated
Exit the kitchen pass — back to the PMS,Exit the kitchen pass — back to the PMS,الخروج من ممر المطبخ — العودة إلى نظام الإدارة,screens/Kitchen.tsx,,translated
Expected cash,Expected cash,النقد المتوقع,screens/CashierTill.tsx,,translated
Expected pax,Expected pax,عدد الضيوف المتوقع,screens/Banquet.tsx,,translated
Export,Export,تصدير,components/ResourceScreen.tsx,,translated
Export as CSV,Export as CSV,تصدير كـ CSV,components/ResourceScreen.tsx,,translated
Express,Express,مستعجل,screens/Laundry.tsx,,translated
Express {cur} (opt),Express {cur} (opt),مستعجل {cur} (اختياري),screens/Laundry.tsx,cur,translated
Extra guest price / night,Extra guest price / night,سعر الضيف الإضافي / ليلة,screens/Setup.tsx,,translated
Filter by room type,Filter by room type,تصفية حسب نوع الغرفة,screens/TapeChart.tsx,,translated
Finance,Finance,المالية,screens/Dashboard.tsx,,translated
"Find a room across every property you manage, and book into whichever has space.","Find a room across every property you manage, and book into whichever has space.",اعثر على غرفة عبر كل عقار تديره، واحجز حيث يوجد مكان.,screens/CRS.tsx,,translated
Find it under Arrivals on the stay date.,Find it under Arrivals on the stay date.,ابحث عنه تحت الوصول في تاريخ الإقامة.,components/BookingDialog.tsx,,translated
Fire,Fire,أرسل للطبخ,screens/Kitchen.tsx,,translated
Fire KOT,Fire KOT,إرسال أمر المطبخ,screens/POS.tsx,,translated
Fire {course},Fire {course},أرسل {course},screens/Kitchen.tsx,course,translated
Fired,Fired,أُرسل للطبخ,screens/Kitchen.tsx,,translated
Fix the issue below to see a price.,Fix the issue below to see a price.,أصلح المشكلة أدناه لرؤية السعر.,components/BookingDialog.tsx,,translated
Float,Float,الرصيد الابتدائي,screens/CashierTill.tsx,,translated
Focus mode — hide PMS menus,Focus mode — hide PMS menus,وضع التركيز — إخفاء قوائم النظام,screens/Kitchen.tsx; screens/POS.tsx,,translated
Folio,Folio,الفاتورة,screens/Billing.tsx; screens/Laundry.tsx,,translated
Folios,Folios,الفواتير,screens/Billing.tsx,,translated
For {name},For {name},لـ {name},screens/FolioView.tsx,name,translated
Free Child Age Limit (Years),Free Child Age Limit (Years),حد عمر الطفل المجاني (سنوات),screens/Setup.tsx,,translated
From,From,من,screens/Banquet.tsx,,translated
Front Desk Overview,Front Desk Overview,نظرة عامة على الاستقبال,screens/Today.tsx,,translated
Full payment,Full payment,دفع كامل,screens/Setup.tsx,,translated
Full screen till,Full screen till,صندوق بملء الشاشة,screens/POS.tsx,,translated
"Function prospecting through to the event order - enquiry, quotation, contract, and the day itself.","Function prospecting through to the event order - enquiry, quotation, contract, and the day itself.",من استقطاب المناسبة إلى أمر الفعالية - استفسار وعرض وعقد واليوم نفسه.,screens/Banquet.tsx,,translated
GRC,GRC,بطاقة التسجيل,screens/Today.tsx,,translated
GST {rate}%,GST {rate}%,GST {rate}%,screens/FolioView.tsx,rate,translated
GSTIN,GSTIN,GSTIN,screens/Setup.tsx,,translated
Get your own Kamra →,Get your own Kamra →,احصل على كامرا الخاص بك ←,AppShell.tsx,,translated
Give the guest the cancellation number.,Give the guest the cancellation number.,أعطِ الضيف رقم الإلغاء.,components/CancelPanel.tsx,,translated
Good afternoon,Good afternoon,مساء الخير,screens/Today.tsx,,translated
Good evening,Good evening,مساء الخير,screens/Today.tsx,,translated
Good morning,Good morning,صباح الخير,screens/Today.tsx,,translated
Got it,Got it,حسناً,screens/Kitchen.tsx,,translated
Grand total,Grand total,الإجمالي الكلي,screens/FolioView.tsx,,translated
Group,Group,مجموعة,screens/TapeChart.tsx,,translated
Group folio,Group folio,فاتورة المجموعة,screens/FolioView.tsx,,translated
